market,MKT_CUSTOMER_ID_C,SSA_TRADE_N,billing_country,FINIS,MLI,MDSMT_MNTHYR_Y,LOC_BDN,gross_revenue,billed_revenue,gross_pieces
NLD,05104,Automobielbedr J Noort en Zoon VOF,NLD, 0027405,0855,202505,243.999648305,273.343487058,273.343487058,0.0
NLD,18601,Fa. Autom.bedrijf Stoof Vinkeveen,NLD, 0027405,0855,202505,243.999648305,273.343487058,273.343487058,0.0
NLD,27501,Martijn Kooijman Autobedrijf B.V.,NLD, 0027405,0855,202505,243.999648305,273.343487058,273.343487058,0.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1729854,0132,202511,76.039775184,85.184456028,84.781491123,4.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1743276,0477,202511,117.599654129,131.742401155,147.60526961,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1513402,0619,202511,17.450064851,19.5486412,19.447899973,1.0
NLD,11200,Autobedrijf Jitze Hoogterp B.V.,NLD, 0027405,0855,202504,244.00036972,273.344295449,273.344295449,0.0
NLD,01206,Auto Zutphen B.V.,NLD, 0027420,0870,202504,64.00036972,71.697169925,71.697169925,0.0
NLD,18601,Fa. Autom.bedrijf Stoof Vinkeveen,NLD, 0027420,0870,202504,64.00036972,71.697169925,71.697169925,0.0
NLD,06600,Gerritse Oss,NLD, 1337174,0201,202504,-4.420001849,-4.951559264,-4.928779192,-1.0
NLD,10300,Gerritse Culemborg,NLD, 1558894,0254,202504,-4.339587762,-4.861474435,-4.83972982,-1.0
NLD,06600,Gerritse Oss,NLD, 1222990,0612,202504,-18.009982438,-20.175895497,-20.075456089,-1.0
NLD,10300,Gerritse Culemborg,NLD, 1558875,0254,202504,-20.510213513,-22.976808882,-22.864979439,-1.0
NLD,06600,Gerritse Oss,NLD, 1485109,0201,202504,12.419816989,13.913446641,13.846141883,3.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1520297,0002,202504,128.180053609,143.595218666,142.878681859,2.0
NLD,06600,Gerritse Oss,NLD, 1487793,0022,202504,40.199648766,45.034131226,44.698642895,30.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1404957,0022,202504,83.100101673,93.093870184,92.757346395,30.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1145302,0107,202504,32.309825307,36.19546333,40.553705267,1.0
NLD,10300,Gerritse Culemborg,NLD, 1590748,0149,202504,24.909880765,27.905588075,27.770978559,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1029040,0007,202504,31.950272668,35.792670241,35.623890617,5.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 4461059,0026,202508,19.91003974,22.304457117,24.993202869,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2768104,0562,202508,386.229966374,432.67868046,430.516333985,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1814670,0503,202507,71.219616205,79.78461599,79.381417284,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1860580,0084,202507,14.910021322,16.703127438,16.62478077,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 5249588,0202,202510,138.30970324,154.94307827,154.170385236,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2858025,0451,202510,29.699833951,33.271589691,37.271468571,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2831033,0488,202510,69.539745391,77.902720927,87.27997096,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1064118,0505,202510,7.93971133,8.894555372,8.849720097,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1094961,0612,202510,64.720057904,72.503409107,72.144726909,2.0
NLD,12200,Autobedrijf Poll Naarden B.V.,NLD, 0027420,0870,202510,63.999659386,71.69637416,71.69637416,0.0
NLD,04501,Autobedrijf Hans Versteden B.V.,NLD, 0027405,0855,202510,243.999659386,273.343499671,273.343499671,0.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2011881,0201,202506,4.479823594,5.01857528,5.01857528,4.0
NLD,10300,Gerritse Culemborg,NLD, 1848220,0132,202503,45.510410155,50.983574354,50.714241804,3.0
NLD,10300,Gerritse Culemborg,NLD, 1812510,0063,202503,76.559119104,85.76625717,87.156013127,12.0
NLD,06600,Gerritse Oss,NLD, 1797270,0022,202503,2.580179834,2.890476925,2.890476925,3.0
NLD,06600,Gerritse Oss,NLD, 1766781,0022,202503,106.879838438,119.733401025,122.960004972,16.0
NLD,06600,Gerritse Oss,NLD, 1820108,0437,202503,6.520171179,7.304298752,7.259050883,2.0
NLD,10300,Gerritse Culemborg,NLD, 1791421,0487,202503,11.260277925,12.614459304,12.546587502,2.0
NLD,06600,Gerritse Oss,NLD, 1805434,0432,202503,228.001154013,255.420984972,254.076476883,30.0
NLD,06600,Gerritse Oss,NLD, 1830728,0026,202503,116.69952397,130.73401969,130.062842976,30.0
NLD,06600,Gerritse Oss,NLD, 1789148,0022,202503,12.949944704,14.507328464,14.451307294,5.0
NLD,06600,Gerritse Oss,NLD, 1831404,0455,202503,126.270135116,141.455609834,140.749958553,1.0
NLD,06600,Gerritse Oss,NLD, 1824346,0068,202503,51.890176468,58.130582896,57.838626412,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1707464,0626,202503,164.110208203,183.846398518,182.927435858,1.0
NLD,10300,Gerritse Culemborg,NLD, 1712024,0069,202503,75.009857191,84.030678219,83.60513279,1.0
NLD,06600,Gerritse Oss,NLD, 1749120,0465,202503,5.59022936,6.262520449,6.229123213,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1824925,0006,202503,29.960090398,33.56314503,37.595591966,1.0
NLD,06600,Gerritse Oss,NLD, 1743896,0026,202503,44.710294754,50.087235628,49.840527012,1.0
NLD,06600,Gerritse Oss,NLD, 1840037,0069,202503,367.650141847,411.864412539,409.791629235,5.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 1853325,0022,202501,7.299971184,8.177878921,8.13268538,2.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 1771499,0223,202501,35.010085487,39.220461683,39.018166784,3.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 1767062,0022,202501,108.000192105,120.988490526,120.315967589,60.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1840037,0069,202501,147.059840553,164.745522937,163.916974678,2.0
NLD,06600,Gerritse Oss,NLD, 1862234,0084,202501,11.740466814,13.152396586,13.084606274,2.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 1874816,0478,202501,13.439631159,15.055905508,14.989191233,2.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 1800731,0084,202501,10.659878974,11.941855298,12.625138603,2.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1829702,0107,202501,75.420228604,84.490401695,84.064291161,2.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 1857708,0201,202501,5.220439919,5.848259465,6.564899908,2.0
NLD,06600,Gerritse Oss,NLD, 1766956,0022,202501,4.239746422,4.749625994,4.749625994,4.0
NLD,06600,Gerritse Oss,NLD, 1761929,0109,202501,78.719623475,88.186587759,87.784150034,6.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1770305,0187,202501,264.799731054,296.645025603,295.077240131,20.0
NLD,06600,Gerritse Oss,NLD, 1752110,0022,202501,7.050235328,7.898109379,8.850401859,5.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 1836873,0062,202501,18.739794448,20.99347602,23.514630008,1.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 1841609,0096,202501,328.530400538,368.040060657,366.202189973,1.0
NLD,10300,Gerritse Culemborg,NLD, 1857515,0358,202501,23.16972433,25.956157281,25.821652693,1.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 1873837,0052,202501,533.55009125,597.715790154,594.724408127,1.0
NLD,10300,Gerritse Culemborg,NLD, 1758588,0015,202501,25.560464893,28.634412627,28.488071636,1.0
NLD,06600,Gerritse Oss,NLD, 1853489,0166,202501,174.840073,195.866656379,194.891767128,1.0
NLD,10300,Gerritse Culemborg,NLD, 1787788,0254,202501,6.629526462,7.426805304,8.323143876,1.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 1732959,0090,202501,37.150129671,41.617871451,41.404816184,1.0
NLD,06600,Gerritse Oss,NLD, 1844196,0082,202501,25.400057631,28.454714498,31.882967425,1.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 1806466,0457,202501,29.170108539,32.678158546,32.510296821,1.0
NLD,10300,Gerritse Culemborg,NLD, 1796561,0457,202501,34.860243973,39.052599958,38.862141462,1.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 1751681,0481,202501,85.599846316,95.894238643,95.412174201,1.0
NLD,06600,Gerritse Oss,NLD, 1815863,0470,202501,39.210450485,43.925970173,43.701078503,1.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 1765373,0459,202501,78.739794448,88.20918453,87.77231363,1.0
