market,MKT_CUSTOMER_ID_C,SSA_TRADE_N,billing_country,FINIS,MLI,MDSMT_MNTHYR_Y,LOC_BDN,gross_revenue,billed_revenue,gross_pieces
BEL,24763,BVBA GARAGE SEDEYN & ZOON,BEL, 0027401,0855,202507,244.0,273.343881069,273.343881069,0.0
BEL,28662,GARAGE DE LA VIERRE,BEL, 0027416,0870,202507,64.0,71.69675569,71.69675569,0.0
BEL,28666,AUTO LUTTRE,BEL, 0027401,0855,202507,244.0,273.343881069,273.343881069,0.0
BEL,28052,J & O MOTORS BVBA,BEL, 0027416,0870,202507,64.0,71.69675569,71.69675569,0.0
BEL,33555,GARAGE DEN BAES BV,BEL, 0027401,0855,202507,244.0,273.343881069,273.343881069,0.0
BEL,16653,GARAGE DEN BAES BVBA,BEL, 0027125,0176,202507,3419.6,3830.847277471,3830.847277471,0.0
BEL,18272,HAMRON BV,BEL, 0027416,0870,202507,64.0,71.69675569,71.69675569,0.0
BEL,43052,BVBA GARAGE BOES,BEL, 0027416,0870,202507,64.0,71.69675569,71.69675569,0.0
BEL,14900,GARAGE G BECKERS NV,BEL, 0027125,0176,202507,6288.0,7044.20624656,7044.20624656,0.0
BEL,18260,BORREMANS BVBA,BEL, 0027401,0855,202507,244.0,273.343881069,273.343881069,0.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 0027401,0855,202507,244.0,273.343881069,273.343881069,0.0
BEL,46851,THOMAS AUTO NV,BEL, 0027416,0870,202507,64.0,71.69675569,71.69675569,0.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 0027213,0870,202507,178.49978678,199.966493805,199.966493805,0.0
BEL,28669,JEAN-LUC DELHAYE,BEL, 0027416,0870,202507,64.0,71.69675569,71.69675569,0.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 0027416,0870,202507,187.000426439,209.489435756,209.489435756,0.0
BEL,18254,ORIS-WUYTS BV,BEL, 0027401,0855,202507,244.0,273.343881069,273.343881069,0.0
BEL,24763,BVBA GARAGE SEDEYN & ZOON,BEL, 0027416,0870,202507,64.0,71.69675569,71.69675569,0.0
BEL,46157,GARAGE ANDRE M SPRL,BEL, 0027401,0855,202507,244.0,273.343881069,273.343881069,0.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2414768,0512,202507,24.270362473,27.189160137,28.690167642,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2445308,0457,202507,694.15010661,777.629853217,820.58102533,1.0
BEL,28061,LATEUR BV,BEL, 0027416,0870,202504,64.00036972,71.697169925,71.697169925,0.0
BEL,32653,GARAGE K. DOUMEN,BEL, 0027401,0855,202504,244.00036972,273.344295449,273.344295449,0.0
BEL,17800,VAN DEN POEL MOTORS NV,BEL, 0027204,0763,202504,129.319715316,144.87193815,144.87193815,0.0
BEL,46170,SPRL DELHEZ ET FILS,BEL, 0027401,0855,202504,244.00036972,273.344295449,273.344295449,0.0
BEL,46154,GAR. VINCENT LANGOHR,BEL, 0027416,0870,202504,64.00036972,71.697169925,71.697169925,0.0
BEL,10556,GARAGE BOEYKENS BVBA,BEL, 0027401,0855,202504,244.00036972,273.344295449,273.344295449,0.0
BEL,14475,GAR. D'HOLLANDER,BEL, 0027416,0870,202504,64.00036972,71.697169925,71.697169925,0.0
BEL,18256,GARAGE DE GROOF BV,BEL, 0027401,0855,202504,244.00036972,273.344295449,273.344295449,0.0
BEL,14475,GAR. D'HOLLANDER,BEL, 0027401,0855,202504,244.00036972,273.344295449,273.344295449,0.0
BEL,41154,ST. NICOLAS MOTOR SPRL,BEL, 0027401,0855,202504,244.00036972,273.344295449,273.344295449,0.0
BEL,28300,GARAGE MA CAMPAGNE BVBA,BEL, 0027205,0098,202504,271.099916813,303.702883084,303.702883084,0.0
BEL,28062,GARAGE DUMONT BVBA,BEL, 0027416,0870,202504,64.00036972,71.697169925,71.697169925,0.0
BEL,28051,GARAGE VANDEPUTTE BVBA,BEL, 0027401,0855,202504,244.00036972,273.344295449,273.344295449,0.0
